ED_ID,BDYSET_ID,ED_ABBREV,ED_NAME,WIKIDATA,GAZETTE_DT,FEAT_AREA,FEAT_PERIM,OBJECTID,MS_FB,MS_FB_PARE
247,10,VLA,Vancouver-Langara,Q7914102,,15474272.679600000381470,17791.807199999999284,248,country:ca/province:bc/ed:vla-2015,country:ca/province:bc
251,10,VNW,Vancouver-West End,Q7914107,,14431800.619599999859929,15496.715200000000550,252,country:ca/province:bc/ed:vnw-2015,country:ca/province:bc
248,10,VMP,Vancouver-Mount Pleasant,Q17101546,,12970166.827800000086427,17904.820800000001327,249,country:ca/province:bc/ed:vmp-2015,country:ca/province:bc
249,10,VNP,Vancouver-Point Grey,Q7914106,,41952245.517399996519089,35621.599499999996624,250,country:ca/province:bc/ed:vnp-2015,country:ca/province:bc
250,10,VNQ,Vancouver-Quilchena,Q7914105,,22896872.127099998295307,24827.180499999998574,251,country:ca/province:bc/ed:vnq-2015,country:ca/province:bc
252,10,VRM,Vernon-Monashee,Q7922049,,5035263498.850199699401855,550669.206299999961630,253,country:ca/province:bc/ed:vrm-2015,country:ca/province:bc
253,10,VTB,Victoria-Beacon Hill,Q7926516,,89975695.867200002074242,50457.554700000000594,254,country:ca/province:bc/ed:vtb-2015,country:ca/province:bc
254,10,VTS,Victoria-Swan Lake,Q17030748,,18302114.753100000321865,22499.138200000001234,255,country:ca/province:bc/ed:vts-2015,country:ca/province:bc
255,10,WVC,West Vancouver-Capilano,Q7986772,,80262957.092399999499321,40959.352500000000873,256,country:ca/province:bc/ed:wvc-2015,country:ca/province:bc
256,10,WVS,West Vancouver-Sea to Sky,Q7986776,,11708617951.294700622558594,1063112.725700000068173,257,country:ca/province:bc/ed:wvs-2015,country:ca/province:bc
220,10,POR,Powell River-Sunshine Coast,Q7236091,,21007483967.487300872802734,1084224.216400000033900,221,country:ca/province:bc/ed:por-2015,country:ca/province:bc
217,10,PEN,Penticton,Q7165180,,1907515173.756799936294556,284415.143199999991339,218,country:ca/province:bc/ed:pen-2015,country:ca/province:bc
218,10,POC,Port Coquitlam,Q7230563,,34791102.738200001418591,31188.275499999999738,219,country:ca/province:bc/ed:poc-2015,country:ca/province:bc
219,10,POM,Port Moody-Coquitlam,Q7230800,,85187368.759200006723404,43386.743900000001304,220,country:ca/province:bc/ed:pom-2015,country:ca/province:bc
221,10,PRM,Prince George-Mackenzie,Q7244010,,20510918755.420898437500000,1252686.845699999947101,222,country:ca/province:bc/ed:prm-2015,country:ca/province:bc
222,10,PRV,Prince George-Valemount,Q7244014,,31466518059.333801269531250,1635600.306300000054762,223,country:ca/province:bc/ed:prv-2015,country:ca/province:bc
223,10,RNC,Richmond North Centre,Q28233147,,439816736.226999998092651,112247.153300000005402,224,country:ca/province:bc/ed:rnc-2015,country:ca/province:bc
224,10,RQE,Richmond-Queensborough,Q28233148,,92011672.547099992632866,54952.946900000002643,225,country:ca/province:bc/ed:rqe-2015,country:ca/province:bc
225,10,RSC,Richmond South Centre,Q28233150,,6628010.453300000168383,11434.896800000000439,226,country:ca/province:bc/ed:rsc-2015,country:ca/province:bc
